ALPHA_RANK,Symbol,Sector,Industry,MarketCap,ALPHA_SCORE,Momentum,Sharpe,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS,SECTOR_SCORE,SECTOR_RANK,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,FACTOR_RS,FACTOR_LOW_VOL,FACTOR_SECTOR,MULTI_FACTOR_SCORE,FACTOR_RANK
248,BHARATCOAL,Basic Materials,Coking Coal,0,0.8221,32.092,75.19,28.6,34.42,-14.58,62.47,8.42,6,88.93,85.53,90.34,16.14666666666667,90.89,43.33,59.82,81.69,276
218,GREENCHEF,Unknown,Unknown,1754696832,0.9338,41.484,89.15,24.21,53.0,-6.42,40.72,5.29,9,93.04,89.93,91.51,23.596666666666668,95.93,52.8,22.51,81.69,277
282,CUMMINSIND,Industrials,Specialty Industrial Machinery,1574634651648,0.752,26.014000000000003,86.9,20.95,29.39,-11.34,61.95,9.47,5,84.4,89.4,89.01,13.0,86.12,43.64,75.56,81.69,278
277,CEIGALL,Industrials,Engineering & Construction,59578064896,0.7616,25.994,96.92,19.25,30.49,-13.93,61.19,9.47,5,84.28,91.63,89.21,11.936666666666666,83.97,43.92,75.56,81.64,279
420,AKSHOPTFBR,Technology,Communication Equipment,1011981312,0.5339,24.692,54.87,11.69,33.36,-12.38,19.23,11.7,3,82.99,76.34,83.61,10.889999999999999,81.27,72.19,92.14,81.64,280
430,XPROINDIA,Basic Materials,Specialty Chemicals,26329085952,0.52,26.304,73.9,7.74,38.68,-6.36,14.79,8.42,6,84.63,85.18,83.22,13.353333333333333,86.86,77.63,59.82,81.62,281
241,KRISHIVAL,Consumer Defensive,Packaged Foods,10101394432,0.8357,33.946,95.76,26.32,39.03,-19.59,64.57,6.87,7,90.14,91.4,90.61,15.25333333333333,89.75,42.67,49.8,81.59,282
318,FSL,Technology,Information Technology Services,184498176000,0.6683,27.094,56.53,22.69,30.03,-18.69,42.71,11.7,3,85.41,77.67,87.6,11.343333333333334,82.56,51.74,92.14,81.53,283
242,APCOTEXIND,Basic Materials,Specialty Chemicals,25544011776,0.8355,35.512,87.84,29.08,39.8,-31.42,64.18,8.42,6,90.77,89.71,90.57,12.486666666666665,84.83,42.82,59.82,81.48,284
194,CELLECOR,Unknown,Unknown,62865342464,1.001,45.226,118.0,27.13,57.29,-32.13,55.88,5.29,9,94.37,95.07,92.45,17.43,92.1,45.56,22.51,81.47,285
407,ACCENTMIC,Unknown,Unknown,6382436864,0.5499,29.086,95.06,3.67,46.03,1.22,7.58,5.29,9,86.94,91.24,84.12,16.973333333333333,91.67,87.72,22.51,81.46,286
188,RAIN,Basic Materials,Specialty Chemicals,64141115392,1.0155,40.896,51.62,52.23,33.34,-28.96,80.86,8.42,6,92.88,73.99,92.69,18.869999999999997,93.12,39.73,59.82,81.43,287
208,SVPGLOB,Consumer Cyclical,Textile Manufacturing,495880000,0.9628,45.11,84.78,41.93,47.23,-38.9,75.26,5.4,8,94.25,88.93,91.9,16.753333333333334,91.53,40.32,38.54,81.36,288
391,CYBERTECH,Technology,Information Technology Services,4260221696,0.5679,25.096,61.75,13.51,32.82,-16.32,25.42,11.7,3,83.26,79.88,84.75,10.003333333333332,78.8,65.19,92.14,81.32,289
394,SWANDEF,Industrials,Aerospace & Defense,112492199936,0.5653,23.39,71.91,11.81,31.11,-3.48,27.3,9.47,5,81.54,84.53,84.63,13.146666666666668,86.57,62.96,75.56,81.31,290
413,KPEL,Industrials,Engineering & Construction,23695720448,0.5442,25.372,70.69,11.74,34.46,-10.86,24.08,9.47,5,83.73,84.08,83.91,11.780000000000001,83.57,66.45,75.56,81.25,291
285,CARBORUNIV,Industrials,Conglomerates,196322607104,0.7453,27.816,98.97,19.23,33.54,-21.93,56.74,9.47,5,86.04,92.02,88.89,10.28,79.59,45.31,75.56,81.24,292
330,PANACEABIO,Healthcare,Biotechnology,24380858368,0.6561,28.702,57.42,22.45,32.87,-24.71,39.22,11.7,2,86.7,77.98,87.13,10.203333333333331,79.23,53.56,92.14,81.24,293
292,DREDGECORP,Industrials,Engineering & Construction,31707201536,0.7237,33.709999999999994,52.37,31.97,34.87,-26.44,48.01,9.47,5,89.87,74.64,88.62,13.466666666666669,87.09,49.35,75.56,81.23,294
451,JINDRILL,Energy,Oil & Gas Equipment & Services,17477054464,0.4898,27.786,58.75,12.09,38.25,-19.75,18.57,9.82,4,86.0,78.53,82.4,10.196666666666667,79.19,72.88,85.04,81.21,295
337,APARINDS,Industrials,Electrical Equipment & Parts,514270396416,0.6452,28.694,68.05,20.45,34.19,-17.94,40.7,9.47,5,86.66,82.95,86.86,12.233333333333334,84.36,52.84,75.56,81.2,296
397,SYNCOMF,Healthcare,Drug Manufacturers - Specialty & Generic,13883800576,0.5632,21.572000000000003,63.41,11.93,28.0,-6.19,27.02,11.7,2,79.62,80.72,84.51,11.246666666666668,82.36,63.28,92.14,81.18,297
289,IVP,Basic Materials,Specialty Chemicals,1724692480,0.739,31.57,74.94,24.52,36.27,-17.73,50.66,8.42,6,88.5,85.45,88.74,14.353333333333333,88.5,47.75,59.82,81.16,298
359,SURANASOL,Technology,Solar,1332514688,0.624,25.292,56.44,19.01,29.48,-14.18,36.4,11.7,3,83.61,77.47,85.98,11.436666666666667,82.75,55.55,92.14,81.16,299
143,BSE,Financial Services,Financial Data & Stock Exchanges,1651564609536,1.1909,47.424,150.63,25.83,61.82,-26.35,62.94,4.49,11,94.96,97.77,94.45,20.433333333333334,94.25,43.14,7.18,81.15,300
147,SANSTAR,Unknown,Unknown,0,1.1783,46.252,124.57,42.16,48.98,-41.97,107.22,5.29,9,94.6,95.85,94.29,16.389999999999997,91.24,37.15,22.51,81.09,301
195,MARC,Unknown,Unknown,0,0.9999,50.824,81.67,38.44,59.08,-38.77,53.14,5.29,9,95.74,87.8,92.41,19.583333333333332,93.82,46.42,22.51,81.08,302
163,PAISALO,Financial Services,Credit Services,48077324288,1.1083,43.752,145.4,21.99,58.26,-18.2,54.88,4.49,11,93.74,97.38,93.66,20.683333333333334,94.6,45.7,7.18,80.98,303
122,WELINV,Financial Services,Capital Markets,6691431936,1.3084,54.870000000000005,121.65,46.5,60.45,-43.8,93.58,4.49,11,96.44,95.62,95.27,21.05,94.92,38.17,7.18,80.97,304
390,ANDHRSUGAR,Basic Materials,Chemicals,10830633984,0.5697,23.032,100.74,6.85,33.82,-6.25,20.41,8.42,6,81.15,92.26,84.79,11.473333333333334,82.83,71.1,59.82,80.92,305
255,RADICO,Consumer Defensive,Beverages - Wineries & Distilleries,469576712192,0.7999,33.786,101.76,24.57,39.93,-25.61,62.61,6.87,7,89.95,92.37,90.07,12.963333333333333,86.08,43.25,49.8,80.88,306
304,VETO,Industrials,Electrical Equipment & Parts,2338714880,0.7025,25.288,76.22,21.73,27.66,-10.3,59.88,9.47,5,83.57,86.0,88.15,13.030000000000001,86.16,44.23,75.56,80.86,307
562,DPWIRES,Industrials,Metal Fabrication,2899815680,0.3591,18.752,54.49,0.62,30.84,9.44,1.1,9.47,5,75.56,75.95,78.06,13.633333333333333,87.33,98.18,75.56,80.86,308
181,SANDHAR,Unknown,Unknown,0,1.0517,43.424,93.97,38.96,46.4,-23.33,78.9,5.29,9,93.66,91.04,92.96,20.676666666666666,94.56,40.09,22.51,80.8,309
95,SURANI,Unknown,Unknown,5081875456,1.5088,73.718,145.31,-2.11,124.27,-11.64,-2.47,5.29,9,98.36,97.34,96.32,36.839999999999996,98.71,4.42,22.51,80.79,310
354,JAYAGROGN,Basic Materials,Specialty Chemicals,6946500096,0.6277,28.192,78.8,16.0,36.32,-13.11,34.71,8.42,6,86.35,86.94,86.19,13.07,86.31,56.82,59.82,80.79,311
200,STYLAMIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",50163941376,0.983,34.80800000000001,132.25,29.45,38.38,-26.36,101.48,5.4,8,90.42,96.56,92.22,13.823333333333332,87.72,37.62,38.54,80.78,312
306,AJAXENGG,Industrials,Farm & Heavy Construction Machinery,67311239168,0.6912,26.842,78.51,21.85,30.17,-17.42,56.86,9.47,5,85.22,86.82,88.07,11.533333333333333,83.07,45.25,75.56,80.78,313
367,NAHARSPING,Consumer Cyclical,Textile Manufacturing,9746648064,0.6175,31.278,95.93,12.84,43.57,-11.68,28.27,5.4,8,88.38,91.47,85.69,14.909999999999998,89.28,62.38,38.54,80.77,314
415,GREENPOWER,Utilities,Utilities - Independent Power Producers,13243527168,0.5426,21.584,52.04,13.76,26.8,-7.11,26.72,12.19,1,79.66,74.31,83.81,11.15,82.21,63.49,99.28,80.75,315
293,CAPLIPOINT,Healthcare,Drug Manufacturers - Specialty & Generic,151939776512,0.7234,24.128,83.29,20.03,26.86,-19.65,62.11,11.7,2,82.64,88.42,88.58,9.08,76.18,43.53,92.14,80.74,316
448,SEAMECLTD,Industrials,Marine Shipping,41444966400,0.4945,20.452,84.1,6.13,30.0,-3.94,17.19,9.47,5,78.18,88.6,82.52,10.730000000000002,80.72,74.4,75.56,80.7,317
273,SAIL,Basic Materials,Steel,841346711552,0.7667,30.842,83.68,25.97,34.09,-21.51,63.75,8.42,6,88.11,88.54,89.36,12.85,85.75,42.96,59.82,80.67,318
412,TANLA,Technology,Software - Application,68393226240,0.5442,23.482,55.47,13.81,29.93,-11.54,25.59,11.7,3,81.62,76.65,83.91,10.733333333333334,80.76,65.04,92.14,80.67,319
358,SOMANYCERA,Industrials,Building Products & Equipment,21572737024,0.6243,27.864,79.39,17.19,34.98,-21.43,39.01,9.47,5,86.12,87.13,86.04,10.246666666666668,79.51,54.01,75.56,80.66,320
290,AFIL,Financial Services,Credit Services,5903176192,0.7348,35.748,95.02,12.03,51.56,0.49,22.17,4.49,11,90.89,91.2,88.7,21.36,95.03,69.03,7.18,80.66,321
417,ABB,Industrials,Specialty Industrial Machinery,1489186062336,0.5358,20.284,77.71,9.04,27.78,1.39,25.29,9.47,5,77.9,86.51,83.73,12.736666666666666,85.33,65.43,75.56,80.66,322
258,RITCO,Industrials,Integrated Freight & Logistics,7584543232,0.7931,33.602000000000004,59.41,38.06,30.63,-33.05,73.82,9.47,5,89.75,78.84,89.95,11.88,83.85,40.63,75.56,80.65,323
232,VIVIANA,Unknown,Unknown,8472270848,0.8756,42.552,71.91,30.09,50.86,-14.63,42.54,5.29,9,93.47,84.53,90.97,22.10666666666667,95.46,51.82,22.51,80.64,324
253,SANGHVIMOV,Unknown,Unknown,0,0.802,39.118,92.24,22.24,50.37,-18.41,40.73,5.29,9,92.26,90.54,90.14,18.066666666666666,92.57,52.74,22.51,80.61,325
239,TALBROAUTO,Consumer Cyclical,Auto Parts,21203619840,0.8458,37.566,87.4,33.24,40.45,-24.68,71.82,5.4,8,91.44,89.52,90.69,16.336666666666666,91.16,40.99,38.54,80.57,326
340,JGCHEM,Basic Materials,Other Industrial Metals & Mining,17051815936,0.6411,27.52,67.76,19.12,33.12,-6.94,39.12,8.42,6,85.78,82.83,86.74,15.1,89.52,53.79,59.82,80.53,327
385,BBTCL,Consumer Cyclical,Packaging & Containers,4632463872,0.5841,26.264000000000003,88.62,10.28,36.92,6.44,24.68,5.4,8,84.55,89.79,84.98,17.88,92.33,65.84,38.54,80.53,328
444,EMCURE,Healthcare,Drug Manufacturers - Specialty & Generic,323407446016,0.4984,19.354,77.6,5.98,28.27,-8.71,16.42,11.7,2,76.4,86.45,82.68,8.513333333333334,74.11,75.36,92.14,80.49,329
238,ADFFOODS,Consumer Defensive,Packaged Foods,29311604736,0.8481,40.292,71.58,40.7,40.02,-39.94,72.8,6.87,7,92.69,84.43,90.73,13.593333333333334,87.25,40.87,49.8,80.4,330
378,IKS,Healthcare,Health Information Services,274741608448,0.5916,21.412,70.13,13.66,26.58,-9.71,36.04,11.7,2,79.47,83.73,85.26,10.176666666666664,79.08,55.89,92.14,80.39,331
490,EBGNG,Technology,Computer Hardware,48882438144,0.4424,20.606,56.18,6.68,29.89,-7.31,12.56,11.7,3,78.41,77.28,80.88,9.753333333333334,78.18,80.37,92.14,80.38,332
308,RPSGVENT,Technology,Information Technology Services,30608234496,0.6835,29.908,77.6,-1.34,50.74,-0.06,-2.05,11.7,3,87.6,86.45,87.99,16.446666666666665,91.36,3.58,92.14,80.33,333
349,TRUALT,Energy,Oil & Gas Refining & Marketing,42464686080,0.632,26.72,66.71,22.7,29.4,-20.27,51.51,9.82,4,85.1,82.48,86.39,10.609999999999998,80.45,47.32,85.04,80.31,334
364,TIINDIA,Industrials,Conglomerates,591642492928,0.6205,24.828,75.84,17.34,29.82,-12.17,44.1,9.47,5,83.11,85.76,85.82,11.663333333333332,83.38,51.11,75.56,80.28,335
477,URJA,Technology,Solar,6001108992,0.4534,19.742,56.61,7.28,28.05,-4.59,14.69,11.7,3,76.89,77.71,81.38,10.246666666666666,79.47,77.86,92.14,80.27,336
146,STLNETWORK,Communication Services,Telecom Services,14393375744,1.1801,51.712,94.8,40.36,59.28,-18.51,64.55,3.68,12,95.93,91.12,94.33,27.043333333333333,97.07,42.71,1.41,80.26,337
320,COASTCORP,Consumer Defensive,Packaged Foods,3264470528,0.6663,31.71,77.42,22.29,37.99,-17.61,45.42,6.87,7,88.66,86.31,87.52,14.223333333333334,88.31,50.41,49.8,80.24,338
441,KRONOX,Basic Materials,Specialty Chemicals,4973420032,0.5011,23.944,74.89,8.59,34.18,-4.68,18.82,8.42,6,82.32,85.41,82.79,12.696666666666665,85.18,72.51,59.82,80.24,339
268,ARVIND,Consumer Cyclical,Textile Manufacturing,125592231936,0.7725,36.196,101.71,25.33,43.44,-28.32,59.31,5.4,8,91.12,92.33,89.56,13.483333333333333,87.13,44.47,38.54,80.19,340
434,SIMPLEXINF,Industrials,Engineering & Construction,18844465152,0.5081,23.318,46.2,13.76,29.69,3.28,21.41,9.47,5,81.38,70.28,83.07,15.576666666666668,90.14,70.1,75.56,80.18,341
392,COFORGE,Technology,Information Technology Services,628315914240,0.5672,21.734,63.99,14.06,26.85,-10.34,33.51,11.7,3,79.78,81.03,84.71,10.190000000000001,79.16,58.08,92.14,80.14,342
201,PROV,Unknown,Unknown,3756893184,0.9811,38.708,130.11,26.96,46.54,-27.49,75.37,5.29,9,91.98,96.36,92.18,15.336666666666668,89.83,40.28,22.51,80.14,343
370,MAHICKRA,Unknown,Unknown,884097088,0.6058,30.358,97.89,9.76,44.09,-6.24,21.67,5.29,9,87.92,91.83,85.57,15.87,90.61,69.93,22.51,80.12,344
231,SHERA,Unknown,Unknown,4395872256,0.879,42.776,96.15,30.44,51.0,-33.46,57.39,5.29,9,93.51,91.51,91.01,15.993333333333332,90.79,45.01,22.51,80.09,345
533,MAWANASUG,Consumer Defensive,Confectioners,3865919744,0.3912,23.256,85.3,2.16,37.32,-5.69,4.94,6.87,7,81.27,89.09,79.19,11.263333333333335,82.4,91.92,49.8,80.07,346
307,BHARATWIRE,Basic Materials,Steel,14818432000,0.6855,32.495999999999995,64.18,27.45,35.86,-24.7,49.13,8.42,6,89.21,81.21,88.03,12.87,85.84,48.65,59.82,80.05,347
126,SANCO,Unknown,Unknown,0,1.268,58.8,107.47,62.85,56.1,-81.99,120.4,5.29,9,97.15,93.55,95.11,12.320000000000002,84.55,36.29,22.51,80.03,348
305,INDOAMIN,Basic Materials,Chemicals,9211361280,0.6969,29.866,71.04,25.72,32.63,-19.05,56.0,8.42,6,87.52,84.24,88.11,13.1,86.35,45.52,59.82,79.97,349
371,GREAVESCOT,Industrials,Specialty Industrial Machinery,42047733760,0.6041,24.796,67.49,18.79,28.8,-10.98,44.04,9.47,5,83.07,82.68,85.53,12.203333333333333,84.3,51.15,75.56,79.93,350
325,KINGFA,Basic Materials,Specialty Chemicals,71768113152,0.6602,27.034,80.22,19.72,31.91,-13.42,49.57,8.42,6,85.37,87.41,87.33,12.736666666666665,85.3,48.49,59.82,79.91,351
406,PLAZACABLE,Industrials,Electrical Equipment & Parts,2150414848,0.5523,28.962,56.14,19.56,35.23,-21.84,31.17,9.47,5,86.82,77.2,84.16,10.983333333333329,81.78,59.84,75.56,79.88,352
356,SUDEEPPHRM,Healthcare,Drug Manufacturers - Specialty & Generic,88156397568,0.6263,22.896,52.83,21.48,23.84,-9.91,47.6,11.7,2,81.03,75.01,86.12,11.803333333333333,83.61,49.47,92.14,79.87,353
214,SGFIN,Financial Services,Capital Markets,36881432576,0.9443,43.790000000000006,114.11,25.91,55.71,-27.15,53.07,4.49,11,93.82,94.49,91.67,18.15666666666667,92.69,46.5,7.18,79.76,354
327,COMMITTED,Unknown,Unknown,608504768,0.6597,32.95399999999999,92.45,15.35,44.69,-11.31,31.75,5.29,9,89.52,90.61,87.25,16.243333333333332,91.12,59.54,22.51,79.74,355
543,DHAMPURSUG,Consumer Defensive,Confectioners,9005483008,0.3813,22.362,84.1,2.19,35.81,-3.85,5.14,6.87,7,80.45,88.6,78.8,11.383333333333333,82.64,91.36,49.8,79.72,356
334,RAINBOW,Healthcare,Medical Care Facilities,138932338688,0.6506,18.952,92.97,12.28,23.4,-9.17,48.79,11.7,2,75.85,90.73,86.98,8.836666666666666,75.24,48.9,92.14,79.68,357
230,SURYODAY,Financial Services,Banks - Regional,17330556928,0.8865,39.078,119.01,20.88,51.21,-17.97,48.52,4.49,11,92.22,95.35,91.04,18.040000000000003,92.53,49.08,7.18,79.64,358
419,AERONEU,Consumer Cyclical,Packaging & Containers,2280108544,0.5352,31.018,82.12,13.54,42.67,-14.77,26.06,5.4,8,88.19,87.99,83.65,13.813333333333333,87.68,64.43,38.54,79.58,359
401,AUROPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,824919326720,0.5613,19.178,97.79,6.83,27.41,-14.19,24.37,11.7,2,76.18,91.79,84.38,6.6833333333333345,68.05,66.05,92.14,79.53,360
265,SCPL,Consumer Defensive,Packaged Foods,4749471232,0.7792,39.882,74.38,36.75,41.97,-44.29,65.12,6.87,7,92.45,85.33,89.68,11.476666666666667,82.87,42.47,49.8,79.51,361
296,GPECO,Unknown,Unknown,4225256448,0.7174,34.86,65.69,22.89,42.84,-1.39,35.1,5.29,9,90.54,81.93,88.46,21.44666666666667,95.11,56.43,22.51,79.43,362
357,AIAENG,Industrials,Specialty Industrial Machinery,422060032000,0.6245,22.036,73.18,18.22,24.58,-4.99,54.24,9.47,5,80.07,84.96,86.08,12.603333333333332,84.88,46.09,75.56,79.42,363
442,ROSSELLIND,Industrials,Conglomerates,2110248704,0.4996,22.93,73.04,11.11,30.81,-11.43,26.34,9.47,5,81.11,84.9,82.75,10.163333333333334,79.0,63.86,75.56,79.39,364
539,VINYLINDIA,Basic Materials,Specialty Chemicals,4629203968,0.3834,23.708,70.66,3.74,37.02,-10.41,7.14,8.42,6,81.97,84.02,78.96,10.116666666666669,78.96,88.38,59.82,79.35,365
169,MAFANG,Unknown,Unknown,0,1.0836,32.378,164.71,25.28,37.11,-21.45,112.21,5.29,9,89.09,98.16,93.43,13.646666666666667,87.47,36.92,22.51,79.34,366
162,DBSTOCKBRO,Financial Services,Capital Markets,1170400000,1.1145,37.284000000000006,141.35,30.6,41.74,-16.52,103.62,4.49,11,91.32,97.22,93.7,18.60666666666667,92.96,37.47,7.18,79.33,367
502,WSTCSTPAPR,Basic Materials,Paper & Paper Products,33813739520,0.4155,20.204,76.28,4.58,30.62,-0.8,11.41,8.42,6,77.83,86.04,80.41,11.466666666666669,82.79,82.05,59.82,79.32,368
199,GRCL,Unknown,Unknown,2122773120,0.9847,45.082,92.48,45.19,45.01,-47.39,92.85,5.29,9,94.21,90.65,92.26,14.269999999999996,88.42,38.25,22.51,79.26,369
341,USHAMART,Basic Materials,Steel,149384445952,0.6405,24.309999999999995,82.89,17.83,28.63,-8.21,51.62,8.42,6,82.71,88.23,86.7,12.749999999999998,85.41,47.24,59.82,79.24,370
344,PANAMAPET,Energy,Oil & Gas Refining & Marketing,18220673024,0.6368,26.398,65.15,25.75,26.83,-23.62,62.53,9.82,4,84.75,81.58,86.59,9.653333333333332,77.86,43.29,85.04,79.24,371
297,LRRPL,Unknown,Unknown,242275280,0.7173,36.102,110.72,17.31,48.63,-27.37,39.41,5.29,9,91.08,94.29,88.42,12.856666666666664,85.8,53.3,22.51,79.21,372
313,ADANIPORTS,Industrials,Marine Shipping,4109110870016,0.6759,25.782,81.45,22.83,27.75,-21.74,67.01,9.47,5,84.04,87.72,87.8,9.613333333333333,77.67,42.0,75.56,79.21,373
596,BAJAJHIND,Consumer Defensive,Confectioners,44892250112,0.3317,20.068,83.07,0.34,33.22,-0.65,0.85,6.87,7,77.53,88.33,76.73,10.97,81.68,98.65,49.8,79.12,374
299,EFFWA,Unknown,Unknown,5069229568,0.7146,35.864000000000004,82.7,23.78,43.92,-18.43,44.77,5.29,9,91.01,88.19,88.35,16.423333333333336,91.32,50.72,22.51,79.1,375
452,STYRENIX,Basic Materials,Chemicals,39355895808,0.4897,19.858,90.84,6.37,28.85,-1.9,20.06,8.42,6,77.12,90.26,82.36,11.106666666666667,82.13,71.37,59.82,79.1,376
450,VALIANTORG,Basic Materials,Chemicals,8118682112,0.4905,27.396,55.95,14.7,35.86,-12.65,22.94,8.42,6,85.69,77.04,82.44,12.636666666666668,85.02,67.93,59.82,79.08,377
379,CESC,Utilities,Utilities - Regulated Electric,236402229248,0.5908,19.75,72.9,14.71,23.11,-13.0,46.4,12.19,1,76.93,84.87,85.22,8.273333333333333,73.58,49.98,99.28,79.06,378
523,SPMLINFRA,Industrials,Engineering & Construction,16956942336,0.3988,22.128,50.28,8.76,31.04,-4.38,14.19,9.47,5,80.21,73.13,79.61,11.806666666666665,83.65,78.47,75.56,79.05,379
435,VELS,Unknown,Unknown,748664000,0.5066,27.646,94.98,6.97,41.43,-6.52,15.98,5.29,9,85.88,91.16,83.03,13.959999999999999,87.95,75.87,22.51,79.04,380
399,LOKESHMACH,Industrials,Specialty Industrial Machinery,5319933440,0.562,27.026000000000003,88.57,-6.61,49.45,5.01,-11.84,9.47,5,85.3,89.75,84.43,15.950000000000001,90.65,17.17,75.56,79.03,381
351,APTECHT,Consumer Defensive,Education & Training Services,5970809856,0.6305,29.406,64.01,24.75,32.51,-11.37,48.73,6.87,7,87.21,81.07,86.31,15.296666666666667,89.79,48.96,49.8,79.02,382
235,JSFB,Financial Services,Banks - Regional,51021938688,0.8634,38.712,99.87,25.71,47.38,-15.28,54.19,4.49,11,92.02,92.18,90.85,19.27,93.63,46.15,7.18,79.0,383
363,ELECON,Industrials,Specialty Industrial Machinery,113220984832,0.6205,29.106,56.52,27.12,30.43,-25.5,50.37,9.47,5,87.0,77.63,85.82,10.683333333333332,80.64,47.91,75.56,78.97,384
368,SOLEX,Technology,Solar,12663758848,0.6139,28.846,74.85,-1.85,49.31,-4.69,-2.81,11.7,3,86.74,85.37,85.65,14.256666666666668,88.38,5.08,92.14,78.97,385
486,NELCAST,Industrials,Metal Fabrication,12390345728,0.4444,23.172,52.38,12.39,30.36,-7.85,21.38,9.47,5,81.19,74.72,81.03,11.633333333333333,83.26,70.16,75.56,78.93,386
366,HINDALCO,Basic Materials,Aluminum,2552121524224,0.6179,23.894,93.33,14.63,30.07,-11.67,45.41,8.42,6,82.28,90.81,85.73,11.01,81.93,50.45,59.82,78.92,387
469,AXISCADES,Industrials,Engineering & Construction,75309621248,0.4661,25.686,66.2,12.03,34.79,-20.52,22.89,9.47,5,84.0,82.13,81.7,8.766666666666667,75.01,68.03,75.56,78.9,388
408,GPTHEALTH,Healthcare,Medical Care Facilities,11744506880,0.5494,17.108,87.12,8.36,22.94,-6.66,31.75,11.7,2,72.78,89.48,84.08,8.213333333333333,73.41,59.54,92.14,78.85,389
353,MIDHANI,Basic Materials,Steel,76397248512,0.6284,28.614,65.84,24.15,31.59,-19.13,50.33,8.42,6,86.62,82.05,86.23,12.203333333333333,84.3,47.95,59.82,78.83,390
400,ASTEC,Basic Materials,Agricultural Inputs,16449862656,0.5613,29.54,51.88,22.22,34.42,-17.09,33.49,8.42,6,87.37,74.23,84.38,13.183333333333332,86.62,58.13,59.82,78.82,391
581,ALPEXSOLAR,Unknown,Unknown,20531959808,0.3416,26.56,71.08,0.34,44.04,-1.65,0.55,5.29,9,84.98,84.32,77.32,14.243333333333334,88.35,99.1,22.51,78.8,392
333,CHEMCON,Basic Materials,Specialty Chemicals,6756899328,0.6531,27.566,66.57,25.46,28.97,-16.2,58.5,8.42,6,85.84,82.36,87.02,12.743333333333334,85.37,44.68,59.82,78.8,393
377,DAMODARIND,Consumer Cyclical,Textile Manufacturing,735347968,0.592,31.66,75.49,20.86,38.86,-15.9,40.52,5.4,8,88.62,85.65,85.3,14.606666666666667,88.78,52.91,38.54,78.8,394
373,VIPCLOTHNG,Consumer Cyclical,Apparel Manufacturing,2354183168,0.6006,35.251999999999995,64.18,25.13,42.0,-22.67,38.4,5.4,8,90.69,81.21,85.45,14.819999999999999,89.01,54.48,38.54,78.79,395
393,DCMFINSERV,Financial Services,Credit Services,135184080,0.5666,31.604,64.47,9.89,46.08,11.22,13.84,4.49,11,88.54,81.31,84.67,22.396666666666665,95.5,78.96,7.18,78.79,396
374,FDC,Healthcare,Drug Manufacturers - Specialty & Generic,64334401536,0.5953,18.894,63.02,16.77,20.31,-4.51,52.03,11.7,2,75.77,80.45,85.41,10.856666666666667,81.19,47.01,92.14,78.73,397
495,STOVEKRAFT,Consumer Cyclical,"Furnishings, Fixtures & Appliances",20556335104,0.4274,24.644,70.66,8.57,35.36,2.99,17.13,5.4,8,82.95,84.02,80.68,15.64,90.3,74.46,38.54,78.72,398
498,GENUSPOWER,Industrials,Electrical Equipment & Parts,85679767552,0.4206,21.126,64.75,8.67,29.43,-8.15,19.08,9.47,5,79.08,81.38,80.56,9.983333333333334,78.74,72.35,75.56,78.7,399
283,VILINBIO,Unknown,Unknown,251100000,0.7502,37.842,92.55,26.22,45.59,-29.8,53.23,5.29,9,91.63,90.69,88.97,14.003333333333336,88.11,46.38,22.51,78.68,400
516,GMDCLTD,Energy,Thermal Coal,212471709696,0.4039,21.362,51.36,10.79,28.41,-7.59,19.5,9.82,4,79.35,73.8,79.86,10.536666666666667,80.33,72.04,85.04,78.68,401
226,VERANDA,Consumer Defensive,Education & Training Services,22314622976,0.8999,44.448,59.35,56.76,36.24,-60.04,92.96,6.87,7,93.98,78.8,91.2,10.986666666666666,81.81,38.21,49.8,78.58,402
323,MOTOGENFIN,Real Estate,Real Estate Services,977784256,0.664,31.630000000000003,90.57,16.15,41.95,-4.57,34.87,4.83,10,88.58,90.14,87.41,17.843333333333334,92.26,56.71,13.12,78.52,403
315,SOTL,Basic Materials,Specialty Chemicals,28805658624,0.672,27.946,75.41,25.9,29.31,-22.32,66.63,8.42,6,86.16,85.61,87.72,10.963333333333331,81.62,42.12,59.82,78.52,404
257,KILITCH,Healthcare,Drug Manufacturers - Specialty & Generic,6329092096,0.7981,32.054,47.32,44.9,23.49,-44.81,90.45,11.7,2,88.89,71.06,89.99,7.859999999999999,72.19,38.4,92.14,78.43,405
317,ANGELONE,Financial Services,Capital Markets,306520064000,0.67,35.230000000000004,97.42,16.57,47.67,-16.81,33.86,4.49,11,90.65,91.75,87.64,15.810000000000002,90.57,57.84,7.18,78.42,406
380,RPGLIFE,Healthcare,Drug Manufacturers - Specialty & Generic,35929354240,0.59,23.178,64.68,19.29,25.77,-21.02,48.42,11.7,2,81.23,81.35,85.18,8.013333333333334,72.7,49.12,92.14,78.41,407
585,HINDOILEXP,Energy,Oil & Gas E&P,21821464576,0.3386,21.138,55.41,5.82,31.35,-11.22,10.29,9.82,4,79.16,76.57,77.16,8.65,74.66,83.57,85.04,78.4,408
