Symbol,Close,AVG_20D_VOLUME,TRADED_VALUE,LIQUIDITY_SCORE,LIQUIDITY_RANK,LIQUIDITY_BUCKET
CLSL,45.0,4600,207000.0,28.273809523809522,242.0,ILLIQUID
MCCHRLS-B,681.5,302,206426.35,27.976190476190478,243.0,ILLIQUID
PULZ,23.6,8700,205320.0,27.67857142857143,244.0,ILLIQUID
NATIONSTD,1240.0,165,205158.0,27.380952380952383,245.0,ILLIQUID
AMIABLE,72.9,2800,204120.0,27.083333333333332,246.0,ILLIQUID
EFORCE,22.35,9120,203832.0,26.785714285714285,247.0,ILLIQUID
TIMESCAN,41.25,4800,198000.0,26.488095238095237,248.0,ILLIQUID
NIDAN,14.0,13850,193900.0,26.190476190476193,249.0,ILLIQUID
PML,519.85,372,193540.15,25.892857142857146,250.0,ILLIQUID
RSDFIN,76.78,2508,192568.08,25.595238095238095,251.0,ILLIQUID
SANGANI,49.1,3900,191489.99,25.297619047619047,252.0,ILLIQUID
GIRIRAJ,148.0,1287,190550.0,25.0,253.0,ILLIQUID
AGNI,17.95,10125,181743.76,24.702380952380953,254.0,ILLIQUID
HRHNEXT,27.5,6600,181500.0,24.404761904761905,255.0,ILLIQUID
VSCL,24.05,7350,176767.49,24.107142857142858,256.0,ILLIQUID
RITEZONE,19.5,8960,174720.0,23.809523809523807,257.0,ILLIQUID
QUINT,39.88,4335,172883.79,23.511904761904763,258.0,ILLIQUID
VEEKAYEM,133.75,1275,170531.25,23.214285714285715,259.0,ILLIQUID
OMFURN,59.3,2820,167226.0,22.916666666666664,260.0,ILLIQUID
AGUL,63.9,2500,159750.0,22.61904761904762,261.0,ILLIQUID
AMBEY,25.0,6300,157500.0,22.321428571428573,262.0,ILLIQUID
BMETRICS,36.55,4240,154972.0,22.023809523809522,263.0,ILLIQUID
INDPRUD,6500.0,23,152425.0,21.726190476190478,264.0,ILLIQUID
MOSERVICE,29.65,5104,151349.91,21.428571428571427,265.0,ILLIQUID
ARISTO,109.8,1320,144936.0,21.13095238095238,266.0,ILLIQUID
ARIHANTACA,450.0,320,144000.0,20.833333333333336,267.0,ILLIQUID
ZEAL,69.0,1950,134550.0,20.535714285714285,268.0,ILLIQUID
BNALTD,340.0,388,131988.0,20.238095238095237,269.0,ILLIQUID
ACCORD,58.4,2200,128480.0,19.940476190476193,270.0,ILLIQUID
ASTAR,627.0,195,122672.55,19.642857142857142,271.0,ILLIQUID
DKEGL,68.15,1800,122670.0,19.345238095238095,272.0,ILLIQUID
SOTAC,111.0,1080,119880.0,19.047619047619047,273.0,ILLIQUID
SYNOPTICS,46.15,2190,101068.5,18.75,274.0,ILLIQUID
GRANDOAK,25.22,3933,99206.65,18.452380952380953,275.0,ILLIQUID
UMA,19.75,5000,98750.0,18.154761904761905,276.0,ILLIQUID
SHUBHLAXMI,19.95,4850,96757.5,17.857142857142858,277.0,ILLIQUID
ITALIANE,33.25,2900,96425.0,17.559523809523807,278.0,ILLIQUID
AATMAJ,19.5,4800,93600.0,17.261904761904763,279.0,ILLIQUID
MONOPHARMA,11.85,7600,90060.0,16.964285714285715,280.0,ILLIQUID
AUROIMPEX,28.25,2960,83620.0,16.666666666666664,281.0,ILLIQUID
YUDIZ,24.5,3400,83300.0,16.36904761904762,282.0,ILLIQUID
UWCSL,97.8,850,83130.0,16.071428571428573,283.0,ILLIQUID
VR,131.9,620,81778.0,15.773809523809524,284.0,ILLIQUID
SHRIKRISH,40.55,1942,78772.43,15.476190476190476,285.0,ILLIQUID
WALPAR,31.5,2500,78750.0,15.178571428571427,286.0,ILLIQUID
SUNREST,36.8,1920,70656.0,14.880952380952381,287.0,ILLIQUID
ASPIRE,15.95,4200,66990.0,14.583333333333334,288.0,ILLIQUID
SHANTHALA,23.0,2640,60720.0,14.285714285714285,289.0,ILLIQUID
QUICKTOUCH,25.9,2325,60217.5,13.988095238095239,290.0,ILLIQUID
CADSYS,70.45,825,58121.25,13.690476190476192,291.0,ILLIQUID
CMRSL,69.0,800,55200.0,13.392857142857142,292.0,ILLIQUID
CELLPOINT,16.45,3240,53298.0,13.095238095238097,293.0,ILLIQUID
VERITAAS,45.6,1080,49248.0,12.797619047619047,294.0,ILLIQUID
MICROPRO,19.85,2480,49228.0,12.5,295.0,ILLIQUID
JIWANRAM,5.2,9300,48360.0,12.202380952380953,296.0,ILLIQUID
MARINETRAN,15.9,3000,47700.0,11.904761904761903,297.0,ILLIQUID
TAPIFRUIT,52.45,900,47205.0,11.607142857142858,298.0,ILLIQUID
AISL,51.4,900,46260.0,11.30952380952381,299.0,ILLIQUID
PROLIFE,57.0,800,45600.0,11.011904761904761,300.0,ILLIQUID
MEGAFLEX,126.95,350,44432.5,10.714285714285714,301.0,ILLIQUID
AILIMITED,40.0,1050,42000.0,10.416666666666668,302.0,ILLIQUID
WINNY,37.55,1100,41305.0,10.119047619047619,303.0,ILLIQUID
AGARWALFT,33.25,1200,39900.0,9.821428571428571,304.0,ILLIQUID
QUADPRO,2.05,19200,39360.0,9.523809523809524,305.0,ILLIQUID
USASEEDS,95.0,385,36594.0,9.226190476190476,306.0,ILLIQUID
PLADAINFO,11.1,3150,34965.0,8.928571428571429,307.0,ILLIQUID
TRIDHYA,9.0,3450,31050.0,8.630952380952381,308.0,ILLIQUID
TIRUPATI,485.0,62,30312.5,8.333333333333332,309.0,ILLIQUID
