Symbol,RS_5D,RS_15D,RS_30D,RS_60D,RS_ACCELERATION,VOLATILITY,VOL_ADJ_RS,Momentum,Sharpe,Institutional Score
PGHL.NS,8.15,16.67,24.93,32.39,-16.78,0.2683,92.92,29.406000000000002,120.72,92.08
SEYAIND.NS,0.32,-3.25,32.45,35.08,-32.13,0.4182,77.59,34.028,83.88,92.04
REFEX.NS,11.93,24.22,31.69,51.0,-19.76,0.6359,49.83,43.275999999999996,80.2,92.0
TDPOWERSYS.NS,-4.03,5.04,27.0,44.9,-31.03,0.4867,55.48,37.739999999999995,92.25,92.0
COFFEEDAY.NS,59.89,55.38,46.43,39.93,13.46,0.6533,71.07,42.53,61.12,91.75
DENEERS.NS,-14.54,1.67,26.1,48.86,-40.64,0.5322,49.04,39.756,91.81,91.7
NITINSPIN.NS,2.26,4.46,23.37,41.63,-21.11,0.3841,60.84,34.326,108.38,91.65
MIRCELECTR.NS,-0.32,-10.65,32.12,53.51,-32.44,0.7016,45.78,44.95399999999999,76.27,91.57
MANCREDIT.NS,26.45,24.11,26.68,32.49,-0.23,0.3423,77.94,30.166,94.92,91.46
HSCL.NS,3.31,-1.25,26.02,32.62,-22.71,0.3368,77.26,29.98,96.85,91.41
KRISHIVAL.NS,3.3,10.48,26.95,37.05,-23.65,0.4065,66.3,33.01,91.14,91.41
PATINTLOG.NS,14.42,16.8,24.43,44.09,-10.01,0.4562,53.55,36.226,96.65,91.36
MSPL.NS,1.98,3.06,24.21,43.69,-22.23,0.4494,53.87,35.897999999999996,97.22,91.35
SENORES.NS,-7.2,10.77,21.37,46.64,-28.57,0.417,51.25,36.532,111.85,91.32
JNKINDIA.NS,-3.2,-1.61,22.22,61.26,-25.42,0.589,37.72,45.644,104.01,91.23
ADVENZYMES.NS,3.77,-0.73,28.92,36.44,-25.15,0.4401,65.71,33.432,82.8,91.21
WEIZMANIND.NS,-3.45,-3.96,18.99,103.18,-22.44,0.7277,26.1,69.504,141.79,91.16
WEBELSOLAR.NS,-3.45,-3.96,18.99,103.18,-22.44,0.7277,26.1,69.504,141.79,91.16
UNIDT.NS,10.04,23.96,20.37,52.18,-10.33,0.4627,44.02,39.456,112.77,91.16
TATACOMM.NS,1.73,24.2,31.21,29.17,-29.48,0.3684,84.72,29.986,79.18,91.02
HONASA.NS,4.81,15.14,20.35,41.79,-15.54,0.3506,58.04,33.214,119.2,90.96
RAYMOND.NS,-3.83,8.26,28.95,40.5,-32.78,0.5148,56.24,35.88,78.67,90.95
ATGL.NS,15.14,21.22,21.52,55.31,-6.38,0.5486,39.23,41.794,100.82,90.86
ADFFOODS.NS,0.52,1.44,24.53,48.52,-24.01,0.5568,44.06,38.92400000000001,87.14,90.79
MOLDTKPAC.NS,3.25,23.2,33.22,32.37,-29.97,0.4554,72.95,32.709999999999994,71.08,90.67
JARO.NS,2.25,45.19,36.33,39.61,-34.08,0.6239,58.23,38.298,63.49,90.66
MARC.NS,-1.16,-3.34,29.04,53.45,-30.2,0.7237,40.13,43.686,73.86,90.6
VERANDA.NS,-3.03,6.72,47.65,32.91,-50.68,0.6105,78.05,38.806,53.91,90.5
LLOYDSME.NS,3.66,6.13,16.58,58.68,-12.92,0.4282,38.72,41.839999999999996,137.04,90.47
RAYMONDREL.NS,-4.03,-1.09,30.45,46.64,-34.48,0.6754,45.08,40.164,69.06,90.41
SAAKSHI.NS,3.64,-9.31,25.14,41.35,-21.5,0.496,50.69,34.866,83.37,90.39
VISHWAS.NS,0.64,-7.63,30.13,43.58,-29.49,0.6278,47.99,38.2,69.42,90.24
SOMANYCERA.NS,4.01,13.42,24.45,38.47,-20.44,0.4489,54.47,32.861999999999995,85.7,90.2
GKSL.NS,-1.08,-2.65,26.11,28.72,-27.19,0.3303,79.05,27.676000000000002,86.95,90.16
MARINE.NS,8.56,9.32,25.55,40.97,-16.99,0.5138,49.73,34.802,79.74,90.06
KHAITANLTD.NS,-0.42,-3.68,23.11,48.35,-23.53,0.5736,40.29,38.254,84.29,89.95
AJAXENGG.NS,5.84,12.67,25.82,31.3,-19.98,0.3825,67.5,29.108000000000004,81.83,89.94
