Symbol,RS_5D,RS_15D,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS
ENRIN.NS,7.73,20.31,31.82,37.79,-24.09,77.27
PASUPTAC.NS,14.6,19.64,31.77,29.39,-17.17,61.14
SADHNANIQ.NS,-1.04,-6.42,31.51,12.44,-32.550000000000004,25.21
CHEMCON.NS,9.28,19.72,31.5,29.67,-22.22,72.86
LINCOLN.NS,6.39,14.94,31.42,30.96,-25.03,67.47
CHEMBONDCH.NS,2.22,2.24,31.4,38.94,-29.18,45.32
RAYMONDREL.NS,0.48,2.55,31.3,41.23,-30.82,46.25
RESPONIND.NS,16.49,22.86,31.19,16.08,-14.700000000000003,61.43
CELLECOR.NS,-3.93,7.0,31.11,58.33,-35.04,63.06
SPORTKING.NS,17.24,17.61,30.89,67.02,-13.650000000000002,62.77
ADANIENSOL.NS,13.22,11.38,30.69,57.93,-17.47,66.03
TALBROAUTO.NS,5.27,8.7,30.65,40.37,-25.38,65.97
EMMVEE.NS,18.54,21.86,30.63,55.64,-12.09,52.31
AUSOMENT.NS,12.48,-6.18,30.63,52.47,-18.15,44.97
MANAV.NS,2.59,19.31,30.55,10.13,-27.96,65.64
RATEGAIN.NS,9.38,16.3,30.4,51.1,-21.019999999999996,63.49
BOROSCI.NS,3.16,24.12,30.37,50.05,-27.21,62.86
INDOAMIN.NS,8.54,16.85,30.33,35.74,-21.79,66.47
CGPOWER.NS,8.42,14.78,30.19,37.22,-21.770000000000003,79.1
DCM.NS,8.88,11.07,29.98,18.81,-21.1,69.06
PRECWIRE.NS,10.99,14.75,29.97,56.44,-18.979999999999997,48.64
CARYSIL.NS,6.05,17.5,29.85,26.89,-23.8,58.75
TATACOMM.NS,9.61,25.8,29.69,28.88,-20.080000000000002,80.41
JKIPL.NS,-0.24,-6.34,29.68,36.09,-29.919999999999998,38.73
JOCIL.NS,12.02,12.44,29.67,21.7,-17.650000000000002,67.24
ESABINDIA.NS,4.52,-0.09,29.61,35.63,-25.09,84.2
WOCKPHARMA.NS,8.73,4.98,29.56,38.28,-20.83,56.92
PANAMAPET.NS,4.34,17.84,29.42,30.58,-25.080000000000002,71.92
EFFWA.NS,14.28,6.59,29.41,43.14,-15.13,55.69
INDOBORAX.NS,19.15,23.19,29.37,44.82,-10.220000000000002,64.76
SIS.NS,-1.06,2.66,29.27,42.82,-30.33,82.88
EXICOM.NS,26.76,26.38,29.24,65.18,-2.479999999999997,46.81
MOLDTKPAC.NS,1.14,24.78,29.12,30.03,-27.98,63.83
HSCL.NS,3.49,-2.57,28.87,32.45,-25.380000000000003,85.52
MARINE.NS,9.21,10.05,28.77,39.35,-19.56,57.96
SHEKHAWATI.NS,16.59,3.29,28.72,38.8,-12.129999999999999,41.09
PACEDIGITK.NS,12.21,15.07,28.7,18.56,-16.49,65.53
MEIL.NS,0.77,-4.14,28.68,41.74,-27.91,55.15
DURLAX.NS,5.05,27.88,28.65,60.93,-23.599999999999998,56.3
GLFL.NS,-8.4,-10.29,28.62,0.11,-37.02,51.36
DHANBANK.NS,3.16,3.26,28.6,52.85,-25.44,63.08
APCOTEXIND.NS,-4.26,16.38,28.57,40.27,-32.83,63.08
