Symbol,ENTRY_SCORE,RSI,VOLUME_RATIO,EMA20,EMA50,DISTANCE_TO_HIGH,LAST_UPDATED,ENTRY_RANK
HARIOMPIPE.NS,5,76.36,1.22,383.68,356.9,-2219.75,2026-06-09 11:41:21.683881,6.0
FINOPB.NS,5,68.82,8.21,129.74,138.16,-5836.9,2026-06-09 11:41:21.683881,6.0
AEROENTER.NS,5,63.18,1.43,98.74,93.74,-721.56,2026-06-09 06:48:50.841178,6.0
IKIO.NS,4,50.68,0.41,154.39,151.89,-3397.69,2026-06-09 11:41:21.683881,7.0
BOSCHLTD.NS,4,55.8,0.55,36802.2,36214.68,-903.72,2026-06-09 06:48:50.841178,7.0
CIPLA.NS,4,50.51,0.18,1375.24,1343.91,-1580.2,2026-06-09 06:48:50.841178,7.0
CUMMINSIND.NS,4,56.83,0.5,5580.11,5311.4,-724.18,2026-06-09 06:49:12.228709,7.0
ITDC.NS,4,59.95,0.54,571.39,555.75,-1173.37,2026-06-09 12:42:30.892384,7.0
GANDHAR.NS,4,50.58,0.31,156.88,150.31,-905.15,2026-06-09 12:42:30.892384,7.0
HEXT.NS,4,54.56,0.79,510.53,498.83,-3986.83,2026-06-09 12:42:30.892384,7.0
CUB.NS,4,59.01,3.1,252.12,255.87,-1502.9,2026-06-09 12:42:30.892384,7.0
DIFFNKG.NS,4,52.36,0.36,322.86,309.2,-1662.7,2026-06-09 06:48:50.841178,7.0
GABRIEL.NS,4,44.56,3.22,1061.46,1036.64,-1981.44,2026-06-09 11:41:21.683881,7.0
INDGN.NS,4,57.1,1.29,516.47,506.64,-1345.52,2026-06-09 11:41:21.683881,7.0
IIFLCAPS.NS,4,56.21,1.2,339.11,328.3,-1199.46,2026-06-09 11:41:21.683881,7.0
HEMIPROP.NS,4,47.29,1.18,141.29,138.97,-2229.35,2026-06-09 11:41:21.683881,7.0
ELLEN.NS,4,45.88,0.62,266.32,262.33,-5540.52,2026-06-09 06:49:24.988908,7.0
DREDGECORP.NS,4,55.09,0.25,1105.31,1029.36,-766.73,2026-06-09 06:48:50.841178,7.0
20MICRONS.NS,4,55.12,0.16,183.96,178.75,-3278.78,2026-06-09 06:49:12.228709,7.0
JAYAGROGN.NS,4,58.73,0.08,220.42,209.24,-1648.4,2026-06-09 06:48:50.841178,7.0
ENGINERSIN.NS,4,48.51,0.43,235.97,231.16,-875.93,2026-06-09 11:41:21.683881,7.0
FINEORG.NS,4,59.73,0.61,4650.35,4606.24,-1300.11,2026-06-09 11:41:21.683881,7.0
INDOTECH.NS,4,57.46,0.27,2570.17,2304.73,-847.7,2026-06-09 11:41:21.683881,7.0
BEPL.NS,4,55.63,0.52,95.74,94.0,-1614.03,2026-06-09 06:48:50.841178,7.0
COHANCE.NS,4,59.68,0.09,429.74,415.02,-6077.03,2026-06-09 06:48:50.841178,7.0
JBMA.NS,4,55.4,0.21,649.68,628.54,-1089.39,2026-06-09 06:48:50.841178,7.0
DENEERS.NS,4,44.56,0.32,215.37,196.33,-3902.1,2026-06-09 06:48:50.841178,7.0
INDTERRAIN.NS,4,54.16,0.72,32.16,31.85,-2485.47,2026-06-09 11:41:21.683881,7.0
HPL.NS,4,51.95,0.95,355.81,351.07,-4224.76,2026-06-09 11:41:21.683881,7.0
APOLLOPIPE.NS,4,47.49,0.34,492.12,466.04,-914.65,2026-06-09 06:49:19.278935,7.0
BBOX.NS,4,56.48,0.32,957.73,808.1,-926.54,2026-06-09 06:48:50.841178,7.0
HARSHA.NS,4,41.8,2.31,398.53,390.94,-975.5,2026-06-09 11:41:21.683881,7.0
INDIGOPNTS.NS,4,47.15,0.46,961.71,934.83,-2653.09,2026-06-09 11:41:21.683881,7.0
ACE.NS,4,51.14,0.98,887.63,885.59,-2853.47,2026-06-09 06:48:50.841178,7.0
HCG.NS,4,43.5,0.16,632.85,613.66,-1820.82,2026-06-09 11:41:21.683881,7.0
ALKYLAMINE.NS,4,55.07,0.43,1727.28,1632.85,-2346.96,2026-06-09 06:48:50.841178,7.0
DHAMPURSUG.NS,4,53.76,0.48,142.83,140.35,-969.77,2026-06-09 11:41:21.683881,7.0
AFFLE.NS,4,56.12,0.23,1473.3,1468.15,-3124.33,2026-06-09 06:48:50.841178,7.0
HPIL.NS,4,58.62,0.09,131.06,130.7,-1507.92,2026-06-09 11:41:21.683881,7.0
ALPA.NS,4,57.38,0.28,69.24,68.24,-3317.08,2026-06-09 06:49:12.228709,7.0
DVL.NS,4,35.21,1.68,241.44,241.2,-3575.58,2026-06-09 11:41:21.683881,7.0
AMDIND.NS,4,56.31,0.18,46.65,45.27,-2683.69,2026-06-09 06:48:50.841178,7.0
BALPHARMA.NS,4,59.87,0.42,85.69,81.16,-1624.5,2026-06-09 06:48:50.841178,7.0
ISFT.NS,4,57.91,0.34,83.16,79.91,-2646.6,2026-06-09 06:48:50.841178,7.0
