ALPHA_RANK,Symbol,Sector,Industry,Market_Cap,ALPHA_SCORE,Momentum,Sharpe,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS,SECTOR_SCORE,SECTOR_RANK,ENTRY_SCORE,ADV_RUPEES,AVG_20D_VOLUME,LIQUIDITY_SCORE,LIQUIDITY_BUCKET,Industry_MASTER,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,FACTOR_RS,FACTOR_LOW_VOL,FACTOR_SECTOR,FACTOR_ENTRY,FACTOR_LIQUIDITY,FACTOR_MARKET_CAP,MULTI_FACTOR_SCORE,FACTOR_RANK
127,ADANIPORTS,Industrials,Marine Shipping,4195970187264.0,0.5923,25.296000000000003,84.98,19.8,28.96,-17.93,58.1,7.49,7.0,7.0,4000355477.91,2196549.0,96.2,HIGH,Capital Goods,80.71,85.03,82.74,10.276666666666669,77.41,45.18,53.3,7.0,96.2,98.22335025380711,68.33,53
144,AUROPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,836369317888.0,0.5108,18.822,94.7,7.35,26.47,-4.04,26.3,9.76,4.0,4.0,1810033155.52,1245207.0,90.4,HIGH,Pharma – Formulations,72.84,87.31,80.2,9.926666666666668,75.63,68.53,87.18,4.0,90.4,84.01015228426397,67.93,54
67,CHEMCON,Basic Materials,Specialty Chemicals,7171558400.0,1.0533,39.742,89.6,36.19,42.11,-23.84,77.0,9.45,5.0,5.0,55437103.61,283160.0,43.06666666666666,LOW,Unknown,91.88,85.79,91.88,18.153333333333332,91.37,40.86,75.0,5.0,43.07,1.2690355329949239,67.77,55
88,GRINDWELL,Industrials,Building Products & Equipment,212006666240.0,0.7889,28.05,105.42,21.99,32.09,-14.73,72.24,7.49,7.0,7.0,158063488.87,82548.0,60.2,MEDIUM,Capital Goods,83.25,89.34,88.32,13.116666666666665,83.25,41.62,53.3,7.0,60.2,60.659898477157356,67.58,56
106,ALKYLAMINE,Basic Materials,Specialty Chemicals,91900747776.0,0.7006,30.246,68.39,24.15,34.31,-15.81,48.14,9.45,5.0,4.0,891947659.93,496381.0,83.39999999999999,HIGH,Unknown,86.29,76.14,85.53,14.216666666666667,85.03,50.51,75.0,4.0,83.4,35.53299492385787,67.49,57
107,HARDWYN,Industrials,Building Products & Equipment,11732186112.0,0.6984,31.592,112.75,1.91,51.38,-4.14,4.19,7.49,7.0,2.0,93513616.11,3893156.0,51.2,LOW,Capital Goods,87.31,91.62,85.28,16.383333333333333,89.34,91.62,53.3,2.0,51.2,4.060913705583756,67.49,58
135,JBMA,Consumer Cyclical,Auto Parts,157718036480.0,0.5672,29.16,75.92,12.75,40.1,-2.53,24.14,5.0,9.0,4.0,1042628163.67,1563395.0,85.06666666666666,HIGH,FMCG – Food,85.03,79.95,81.98,16.773333333333333,89.59,70.05,28.05,4.0,85.07,50.25380710659898,67.33,59
139,EMCURE,Healthcare,Drug Manufacturers - Specialty & Generic,328338604032.0,0.5539,22.746,77.76,14.7,28.11,-10.31,40.66,9.76,4.0,9.0,240414334.02,138872.0,66.73333333333333,MEDIUM,Pharma – Formulations,78.68,81.47,80.96,10.833333333333334,78.93,55.84,87.18,9.0,66.73,69.28934010152284,67.23,60
78,ATALREAL,Industrials,Engineering & Construction,3673523712.0,0.8864,32.8,110.74,24.01,38.66,-18.59,68.78,7.49,7.0,9.0,206258639.04,6956447.0,64.0,MEDIUM,Capital Goods,88.32,90.86,90.1,14.693333333333333,86.8,42.89,53.3,9.0,64.0,0.25380710659898476,67.09,61
137,ELECON,Industrials,Specialty Industrial Machinery,117349949440.0,0.5658,28.486,75.54,9.97,40.83,-4.98,18.45,7.49,7.0,4.0,338069219.56,646466.0,71.8,MEDIUM,Capital Goods,83.76,79.7,81.47,15.273333333333332,87.31,74.87,53.3,4.0,71.8,40.86294416243655,66.93,62
109,CARBORUNIV,Industrials,Conglomerates,193617608704.0,0.6899,27.368,105.16,15.23,35.46,-13.4,45.17,7.49,7.0,2.0,349751379.6,344108.0,72.26666666666667,MEDIUM,Capital Goods,81.98,89.09,84.77,12.43,82.23,53.05,53.3,2.0,72.27,57.868020304568525,66.73,63
123,EXIDEIND,Consumer Cyclical,Auto Parts,328397520896.0,0.6129,26.516,97.71,17.57,32.48,-13.39,52.86,5.0,9.0,5.0,1495556759.0,3870989.0,88.93333333333334,HIGH,FMCG – Food,81.73,87.82,83.25,12.219999999999999,81.73,48.22,28.05,5.0,88.93,69.54314720812182,66.52,64
126,CGCL,Financial Services,Credit Services,194085699584.0,0.5962,27.418,106.07,13.0,37.03,-9.98,37.24,3.68,11.0,8.0,653195506.86,3238130.0,79.80000000000001,HIGH,Unknown,82.23,89.59,82.99,13.35,84.26,57.87,10.28,8.0,79.8,58.121827411167516,66.25,65
159,ASIANPAINT,Basic Materials,Specialty Chemicals,2602815193088.0,0.4753,18.43,89.47,9.37,24.47,-8.03,34.26,9.45,5.0,5.0,3470147306.75,1278092.0,95.06666666666666,HIGH,Unknown,71.83,85.53,77.92,8.603333333333332,70.81,59.64,75.0,5.0,95.07,95.43147208121827,66.08,66
97,GREAVESCOT,Industrials,Specialty Industrial Machinery,41938247680.0,0.7444,31.480000000000004,84.59,24.28,36.28,-17.65,56.61,7.49,7.0,5.0,247455464.03,1374524.0,67.2,MEDIUM,Capital Goods,87.06,84.52,86.55,14.303333333333335,85.28,45.69,53.3,5.0,67.2,22.081218274111674,66.04,67
84,IONEXCHANG,Industrials,Pollution & Treatment Controls,41384534016.0,0.8295,39.922,72.32,31.42,45.59,-28.43,49.84,7.49,7.0,0.0,81101525.24,240908.0,48.66666666666667,LOW,Capital Goods,92.13,78.43,89.34,16.193333333333335,88.83,49.24,53.3,0.0,48.67,21.573604060913706,65.94,68
153,CHENNPETRO,Energy,Oil & Gas Refining & Marketing,176355770368.0,0.4827,22.39,58.14,15.04,27.29,-2.53,32.04,8.66,6.0,8.0,1207537792.24,1019622.0,86.6,HIGH,Oil Exploration,78.43,69.04,78.68,13.266666666666666,84.01,62.94,65.74,8.0,86.6,54.568527918781726,65.9,69
145,CUMMINSIND,Industrials,Specialty Industrial Machinery,1554953404416.0,0.4966,23.076,81.98,15.78,27.94,-16.67,46.3,7.49,7.0,4.0,2950510894.18,525985.0,94.4,HIGH,Capital Goods,78.93,82.49,79.95,9.016666666666666,72.59,52.03,53.3,4.0,94.4,92.38578680203045,65.8,70
141,ABDL,Consumer Defensive,Beverages - Wineries & Distilleries,159910297600.0,0.5274,25.61,84.37,9.53,36.33,-4.71,22.13,6.53,8.0,5.0,158366934.82,277011.0,60.266666666666666,MEDIUM,FMCG – Food,81.22,84.26,80.71,13.716666666666667,84.52,72.21,38.83,5.0,60.27,51.26903553299492,65.53,71
111,BFUTILITIE,Industrials,Infrastructure Operations,22457440256.0,0.6857,29.092,84.06,14.11,39.08,-1.58,30.35,7.49,7.0,5.0,54837791.49,91979.0,42.8,LOW,Capital Goods,84.77,84.01,84.52,17.203333333333333,90.36,64.47,53.3,5.0,42.8,11.16751269035533,65.43,72
149,ASTERDM,Healthcare,Medical Care Facilities,420220043264.0,0.4906,19.456000000000003,74.49,14.95,22.46,-10.63,49.59,9.76,4.0,10.0,555282617.68,683088.0,78.26666666666667,HIGH,Pharma – Formulations,74.87,79.19,79.19,8.926666666666664,72.08,49.49,87.18,10.0,78.27,75.38071065989847,65.42,73
136,FSL,Technology,Information Technology Services,172762087424.0,0.5671,26.238,51.52,24.63,27.31,-21.83,46.46,11.6,2.0,2.0,765675948.54,3059644.0,81.6,HIGH,IT Services,81.47,64.21,81.73,10.036666666666667,76.4,51.52,94.29,2.0,81.6,53.80710659898477,64.63,74
105,INDOBORAX,Basic Materials,Chemicals,11595721728.0,0.7042,30.162,82.12,23.19,34.81,-23.67,54.71,9.45,5.0,8.0,94298656.43,260962.0,51.33333333333333,LOW,Unknown,86.04,82.74,85.79,11.443333333333333,79.95,46.45,75.0,8.0,51.33,3.807106598984772,64.36,75
154,GRASIM,Basic Materials,Building Materials,2082804334592.0,0.4824,18.486,80.88,16.02,20.13,-16.37,64.36,9.45,5.0,7.0,3146156578.54,1024406.0,94.93333333333334,HIGH,Unknown,72.34,81.98,78.43,6.593333333333333,65.23,43.65,75.0,7.0,94.93,94.16243654822335,64.22,76
180,IMFA,Basic Materials,Other Industrial Metals & Mining,72897388544.0,0.3856,21.094,62.19,2.89,33.23,1.56,5.41,9.45,5.0,2.0,284677845.74,210701.0,69.26666666666667,MEDIUM,Unknown,77.66,71.83,75.89,12.56,82.74,90.61,75.0,2.0,69.27,31.472081218274113,64.18,77
108,ADVENZYMES,Basic Materials,Specialty Chemicals,41576742912.0,0.6942,30.26,71.4,28.01,31.76,-26.39,62.97,9.45,5.0,7.0,74889629.51,201696.0,47.53333333333333,LOW,Unknown,86.8,77.41,85.03,11.126666666666667,79.19,44.16,75.0,7.0,47.53,21.82741116751269,64.08,78
130,GUJALKALI,Basic Materials,Chemicals,45505196032.0,0.5827,27.994000000000003,98.52,-4.67,49.77,1.19,-9.24,9.45,5.0,2.0,70552360.34,113858.0,46.66666666666666,LOW,Unknown,82.99,88.32,82.49,15.43,87.56,15.23,75.0,2.0,46.67,23.3502538071066,63.6,79
